constituency,party,slNo,criminal,incumbent,symbol,name,gender,id,education,age,image,profession,assets,minister,alliance,acNo
Thiruvallur,TAVK,7,0,False,Camera,E.Rajarathinam,Male,90048,Not Specified,45,,,₹nan,,others,4
Thiruvallur,AJPK,8,0,False,Gas cylinder,N.Venkatesan,Male,90049,Bachelor's Degree,50,,,₹66.17 L,,ajpk,4
Thiruvallur,IND,9,0,False,Rubber stamp,E.Kothandan,Male,90050,Master's Degree,38,,,₹2.28 L,,independent,4
Thiruvallur,IND,10,0,False,Cot,N.Nagendrababu,Male,90051,Bachelor's Degree,30,,,₹45.09 L,,independent,4
Thiruvallur,IND,11,0,False,Diamond,N.Balakrishnan,Male,90052,8th Grade,49,,,₹7.24 L,,independent,4
Thiruvallur,IND,12,0,False,Can,R.Ramanan,Male,90053,HSE,56,,,₹18.90 L,,independent,4
Thiruvallur,IND,13,0,False,Water tank,G.Rajendiran,Male,90054,Master's Degree,59,,,₹6.39 L,,independent,4
Thiruvallur,IND,14,0,False,Plate stand,S.Rajendran,Male,90055,5th Grade,62,,,₹8.16 L,,independent,4
Poonamallee,DMK,1,0,True,Rising sun,Krishnaswamy.A,Male,90056,Bachelor's Degree,60,,,₹10.25 Cr,,spa,5
Poonamallee,NTK,2,0,False,Farmer Carrying Plough,Mekala.J,Female,90057,Not Specified,45,,,₹7.53 L,,ntk,5
Poonamallee,BSP,3,0,False,Elephant,Rajasekaran.K,Male,90058,12th Grade (HSC / +2),33,,,₹6.11 L,,others,5
Poonamallee,AMMK,4,0,False,Pressure cooker,Elumalai.T.A,Male,90059,Bachelor's Degree,62,,,₹81.72 L,,nda,5
Poonamallee,TVK,5,0,False,Whistle,Prakasam.R,Male,90060,10th Grade (SSLC),44,,,"₹75,000",,tvk,5
Poonamallee,IND,6,0,False,Belt,Sivakumar.S,Male,90061,Bachelor's Degree,56,,,"₹41,000",,independent,5
Poonamallee,IND,7,0,False,Box,Dhasarathan.R,Male,92897,6th Grade,58,,,"₹26,030",,independent,5
Poonamallee,IND,8,0,False,Saw,Purushothaman.B,Male,90063,10th Grade (SSLC),56,,,"₹16,600",,independent,5
Poonamallee,IND,9,0,False,Diamond,Ravikumar.M,Male,90064,9th Grade,37,,,₹3.70 L,,independent,5
Poonamallee,IND,10,0,False,Batsman,Velu.S,Male,90065,Bachelor's Degree,49,,,"₹41,555",,independent,5
Poonamallee,IND,11,0,False,Swing,Dr.Jayanthi.R,Female,90066,Doctorate (Ph.D / MD),50,,,₹10.95 L,,independent,5
Avadi,BSP,1,0,False,Elephant,S.Charles,Male,90067,12th Grade (HSC / +2),45,,,"₹73,000",,others,6
Avadi,DMK,2,0,False,Rising sun,S.M.Nasar,Male,90068,10th Grade (SSLC),66,,,₹2.08 Cr,,spa,6
